Outlet,Media Type,Type for Color,Address,Latitude,Longitude,City,Notes,State,Approximate Location,Audience: City/region,Audience,Contact,Contact type,URL
Our Weekly,Newspaper (weekly),Newspaper,"8732 S. Western Avenue, Los Angeles, CA 90047",33.9582512,-118.3087012,"Los Angeles, CA",,California,no,Los Angeles,African-American,"Natalie Cole, info@ourweekly.com",Publisher and CEO,http://ourweekly.com/
PACE News,Newspaper (weekly),Newspaper,"3707 West 54th Street, Los Angeles, CA 90043",33.9932289,-118.3380435,"Los Angeles, CA",,California,no,Los Angeles,African-American,"Gloria Zuurveen, gloriaz@pacenews.net",Publisher,https://www.pacenewsonline.com/
Pasadena/San Gabriel Valley Journal,Newspaper (weekly),Newspaper,"1541 N. Lake Avenue, Pasadena, CA 91104",34.1724438,-118.1324063,"Pasadena, CA",,California,no,Pasadena,African-American,"Joe C. Hopkins, journal@pasadenajournal.com",Publisher,https://www.pasadenajournal.com/
Philadelphia Sunday Sun,Newspaper (weekly),Newspaper,"6661-63 Germantown Ave, Philadelphia, PA 19119",40.0511873,-75.1846711,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,African-American,,,https://www.philasun.com/
PhxSoul.com,Digital,Digital,"Phoenix, AZ",33.5006331,-112.1729214,"Phoenix, AZ",,Arizona,yes,Phoenix,African-American,"Tremaine Jasper, info@phxsoul.com",Owner,https://www.phxsoul.com/
Plugged,Digital,Digital,"St. Paul, MN",44.9507842,-93.1604752,"St. Paul, MN",,Minnesota,yes,Nationwide,African-American,"Jeffrey Bissoy-Mattis, @J_bissoy",Co-founder,https://thepluggedapp.com/
Ponchatoula Drum,Newspaper (monthly),Newspaper,"17253 Lavigne Rd, Ponchatoula, LA 70454-2485",30.4540752,-90.4361986,"Ponchatoula, LA",,Louisiana,no,Ponchatoula,African-American,news@thedruminfo.com,General inbox,http://www.thedrumnewspaper.info/
Portland Observer,Newspaper (weekly),Newspaper,"4747 NE Martin Luther King Jr Blvd, Portland, OR 97211",45.5573585,-122.6619916,"Portland, OR",,Oregon,no,Portland,African-American,,,http://portlandobserver.com/
Post News Group,Newspaper (weekly),Newspaper,"360 14th St, Oakland, CA 94612",37.8036705,-122.26911,"Oakland, CA",,California,no,Oakland/Bay Area,African-American,"Paul Cobb, social@postnewsgroup.com",Publisher,https://www.postnewsgroup.com/
Precinct Reporter,Newspaper (weekly),Newspaper,"357 W 2nd St, San Bernardino, CA 92401",34.102447,-117.2908951,"San Bernardino, CA",,California,no,Long Beach/Southern California,African-American,"Brian Townsend, news@precinctreporter.com",Publisher and editor,https://www.precinctreporter.com/
Pride Magazine,Magazine (monthly),Magazine,"8401 University Executive Park Drive, Ste. 122, Charlotte, NC 28262",35.3033661,-80.7542848,"Charlotte, NC",,North Carolina,no,Charlotte,African-American,"Dee Dixon, info@pridemagazine.net",Publisher,http://www.pridemagazineonline.com/
Public Intellectuals,Digital,Digital,"New York, NY",40.7515125,-73.9963224,"New York, NY",,New York,yes,Nationwide,African-American/working class,"Teka Lo, teex@publicintellectuals.org",Editor,http://publicintellectuals.org/
Public Square Amplified,Digital,Digital,"Newark, NJ",40.7350747,-74.1739057,"Newark, NJ",,New Jersey,yes,Newark,Marginalized Communities,info@publicsq.org,"Cassandra Etienne, Co-founder",https://www.publicsq.org/
Pulsebeat Media,"Digital, TV program",Digital,"Detroit, MI",42.331427,-83.0457538,"Detroit, MI",,Michigan,yes,Detroit,General,Greg Dunmore,Executive Producer,https://pulsebeatmedia.com
Pure News USA,Newspaper (monthly),Newspaper,"1701 S College St, Springfield, IL 62704",39.7826392,-89.6577581,"Springfield, IL",,Illinois,no,Springfield,African-American,"James Anderson, tellit@purenews.com",Advertising director,http://www.purenews.com/
PushBlack,Digital,Digital,"Washington, D.C.",38.8979438,-77.0049635,"Washington, D.C.",,"Washington, D.C.",yes,Nationwide,African-American,Jay Andrew,Editor,https://pushblack.us
PW Perspective,Digital,Digital,"P.O. Box 223, Dumfries, VA 22026",38.57648132,-77.30271798,"Dumfries, VA",,Virginia,yes,"Prince William County, Virginia","Black, Latinx, Muslim, and immigrant communities","John Reid, 571-406-2772, pwperspective@gmail.com",Founder/Editor-In-Chief,https://pwperspective.com/
Qcitymetro,Digital,Digital,"6241 South Blvd, Charlotte, NC 28217",35.1512613,-80.8753101,"Charlotte, NC",,North Carolina,no,Charlotte,African-American,"Katrina Louis, katrinalouis@qcitymetro.com",Managing editor,https://qcitymetro.com/
Queerency,Digital,Digital,N/A,30.267153,-97.7430608,,,Texas,yes,Nationwide,LGBT+ Business Community,https://www.queerency.com/about,,https://www.queerency.com
Radio One (KBFB/KSOC),Radio,Radio/Podcast,"8235 Douglas Ave, Dallas, TX 75225",32.8632247,-96.809103,"Dallas, TX",,Texas,no,Dallas,African-American,,,https://thebeatdfw.com
Radio Soleil D'Haiti,Radio,Radio/Podcast,N/A,40.6465005,-73.9493428,"Brooklyn, NY",,New York,yes,New York City,Haitian Diaspora,"radsol@aol.com, 718-693-7806",,http://www.radiosoleil.com
Rebellious Magazine for Women,Digital,Digital,N/A,41.8781136,-87.6297982,"Chicago, IL",,Illinois,yes,Chicago,Feminists,"Karen Hawkins, info@rebelliousmagazine.com, (773) 800-1475",Founder and Rebelle in Chief,https://rebelliousmagazine.com
Richmond Free Press,Newspaper (weekly),Newspaper,"422 E Franklin St # 2, Richmond, VA 23219",37.5415075,-77.4391456,"Richmond, VA",,Virginia,no,Richmond,African-American,,,http://richmondfreepress.com/
Richmond Pulse,Newspaper (monthly),Newspaper,"P.O. Box 70977, Point, Richmond, CA, 94807",37.9271701,-122.3849729,"Richmond, CA",,California,yes,Richmond,Multicultural,"Malcolm Marshall, info@richmondpulse.org",Founder,https://richmondpulse.org/
Runta (The Truth),"Digital, Magazine (monthly)",Digital,"P.O. Box 18463, Seattle, WA 98118-0463",47.54132112,-122.2675701,"Seattle, WA",,Washington,yes,Statewide,Somali,,,http://runtanews.com/
Rwebel LLC,"Magazine, Digital, Podcast",Magazine,"Chicago, IL",41.8003921,-87.603826,"Chicago, IL",,Illinois,yes,Nationwide,African-American,"Javanna Plummer, javannawplummer@gmail.com, (773) 217-0079",Founder,http://www.rwebel.com/
Sacramento Cultural Hub,"Digital, Magazine (quarterly)",Digital,"2572 21st St, Sacramento, CA 95818",38.5587428,-121.4864625,"Sacramento, CA",,California,no,Sacramento,African-American,"Pleshette Robertson, contact@sacculturalhub.com",CEO,https://www.sacculturalhub.com/
Sacramento Observer,Newspaper (weekly),Newspaper,"1825 Del Paso Blvd, Sacramento, CA 95815",38.6087806,-121.4541951,"Sacramento, CA",,California,no,Sacramento,African-American,"Larry Lee, editor@sacobserver.com",Editor,http://sacobserver.com/
Sahan Journal,Digital,Digital,"370 Wabasha St. N. Suite 500, St. Paul, MN 55102",44.9461828,-93.0941778,"St. Paul, MN",,Minnesota,no,State of Minnesota,Immigrant,Mukhtar M. Ibrahim: editor@sahanjournal.com,Editor,https://sahanjournal.com/
Salaxley TV,Video (online),Digital,"15245 International Blvd, Seattle, WA 98188",47.465994,-122.2895814,"Seattle, WA",,Washington,no,Statewide,Somali,salaxleytv@gmail.com,,https://www.youtube.com/channel/UCbd3ooNLzxDqu-1LOZwtvIA
San Diego Monitor,Magazine (weekly),Magazine,"5106 Federal Blvd. Ste. 207, San Diego, CA 92114",32.7220505,-117.0844417,"San Diego, CA",,California,no,San Diego,African-American,sdmonitor@outlook.com,General inbox,https://sdmonitornews.com/
San Diego Voice and Viewpoint,Newspaper (weekly),Newspaper,"3619 College Ave, San Diego, CA 92115",32.7466186,-117.0588105,"San Diego, CA",,California,no,San Diego,African-American,"John E. Warren, news@sdvoice.info",Editor,https://sdvoice.info/
San Francisco Bay View,Newspaper (monthly),Newspaper,"4917 3rd Street, San Francisco, CA 94124",37.7336367,-122.3908646,"San Francisco, CA",,California,no,San Francisco/Bay Area,African-American,editor@sfbayview.com,General inbox,https://sfbayview.com/
San Francisco Sun Reporter,Newspaper (weekly),Newspaper,"1791 Bancroft Ave, San Francisco, CA 94124",37.7269636,-122.3957327,"San Francisco, CA",,California,no,San Francisco/Bay Area,African-American,"Gail Berkley, sunmedia97@aol.com",Editor,http://sunreportermedia.com/
Sapelo Square,Digital,Digital,N/A,33.7748275,-84.2963123,,,Nationwide,yes,Nationwide,Black Muslims,info@sapelosquare.com,General inbox,https://sapelosquare.com/
Savannah Herald,Newspaper (weekly),Newspaper,"2135 Rowland Ave b, Savannah, GA 31404",32.03885,-81.0631324,"Savannah, GA",,Georgia,no,Savannah,African-American,"Kenny Adams, news@savannahherald.net",Managing editor,https://savannahherald.net/
Scalawag,Digital,Digital,"P.O. Box 129, Durham, NC 27702",35.99,-78.9,"Durham, NC",,North Carolina,yes,Regional,African-American,"Cierra Hinton, team@scalawagmagazine.org",Executive Director,https://scalawagmagazine.org/
Scoop USA,Newspaper (weekly),Newspaper,"1354 West Girard Avenue, 2nd Floor Rear, Philadelphia, PA 19122",39.9712359,-75.1589471,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,African-American,,,https://scoopusamedia.com/
Seaside Post News-Sentinel,Newspaper (weekly),Newspaper,"P.O. Box 670, Seaside, CA 93955",36.6216869,-121.7993168,"Seaside, CA",,California,yes,Seaside,African-American,"Alade Djehuti-Mes, seasidepostnews@gmail.com",Publisher,http://seasidepost-california.com/
Sesi,Magazine (quarterly),Magazine,"524 Garrisonville Rd, Unit 549, Garrisonville, VA 22463",38.47455067,-77.43525886,"Garrisonville, VA",,Virginia,no,National & International Audiences,Black Teen Girls,"Andrea Butler, editor@sesimag.com",EIC/Publisher,http://sesimag.com
Shadow & Act,Digital,Digital,600 Wilshire Blvd Los Angeles CA 90017,,,"Los Angeles, CA",,California,no,Nationwide,Black Entertainment Professionals,,,https://shadowandact.com
Shaw's Broadcasting Co. (WBOL/WOJG),Radio,Radio/Podcast,"123 W Market St, Bolivar, TN 38008",35.2559211,-88.9889085,"Bolivar, TN",,Tennessee,no,Bolivar,African-American,,,http://www.wojg.com/
Shreveport Sun,Newspaper (weekly),Newspaper,"2224 Jewella Ave, Shreveport, LA 71109",32.4903703,-93.7975921,"Shreveport, LA",,Louisiana,no,Shreveport,African-American,"Sonya Collins Landry, sunweekly@aol.com",Editor,https://www.sunweeklynews.com/
SOHH.com,Digital,Digital,"PO Box 374, Jersey City, NJ 07302",40.72405195,-74.05287448,"Jersey City, NJ",,New Jersey,yes,National,Hip-Hop Enthusiasts,"Felicia Palmer, felicia@sohh.com",Founder,https://www.sohh.com
SomaliVoices of North America (SomaliVoices),Social Media/Facebook,Digital,"7724 35th Ave NE, Seattle, WA 98115",47.6854906,-122.2900862,"Seattle, WA",,Washington,no,Nationwide,Somali,somalivoices@gmail.com,,https://www.facebook.com/somalivoices
South Carolina Black News,Newspaper (weekly),Newspaper,"1310 Harden St, Columbia, SC, 29204-1820",34.0080054,-81.0196139,"Columbia, SC",,South Carolina,no,Columbia,African-American,,,http://www.scblackmediagroup.com/
South Florida Times,Newspaper (weekly),Newspaper,"3020 North East 32 Avenue Suite 200, Fort Lauderdale, FL 33308",26.1660836,-80.1030953,"Fort Lauderdale, FL",,Florida,no,Miami/South Florida,African-American,"CB Hanif, CBHanif@SFLTimes.com",Editor,http://www.sfltimes.com/
South Seattle Emerald,Digital,Digital,"P.O. Box 28505, Seattle, WA 98118",47.6062095,-122.3320708,"Seattle, WA",,Washington,yes,South Seattle,BIPOC,contact@seattleemerald.org,General inbox,https://southseattleemerald.com/
Southern Dallas County Business & Living Magazine,Magazine (monthly),Magazine,N/A,,,,,Texas,NA,Southern Dallas County,General,"James Valentino Thomas II, 972-765-6201, southerndallasmag@gmail.com",Founder,https://www.southerndallasmagazine.com
Speakin' Out News,Newspaper (weekly),Newspaper,"101 Oakwood Ave NW, Huntsville, AL 35811",34.7494744,-86.5823969,"Huntsville, AL",,Alabama,no,Huntsville,African-American,"William Smothers, speakinoutnews@gmail.com",Publisher,https://speakinoutweeklynews.net/
St. Louis American,Newspaper (weekly),Newspaper,"2315 Pine St, St. Louis, MO 63103",38.6323979,-90.2132678,"St. Louis, MO",,Missouri,no,St. Louis,African-American,,,https://www.stlamerican.com/
Star of Zion,Newspaper (weekly),Newspaper,"P.O. Box 26770, Charlotte, NC 28221",35.3054198,-80.806238,"Charlotte, NC",,North Carolina,yes,Charlotte; regional,African-American,"Addie Lisby, starofzioneditor@gmail.com",Editor,https://www.soznews.org/
Street Hype Newspaper,Newspaper (twice monthly),Newspaper,"329 Miller Place, Mount Vernon, NY 10550",40.8981354,-73.8245566,"Mount Vernon, NY",,New York,no,Greater New York,"African-American, Caribbean","Patrick Maitland, 
patrick@streethypenewspaper.com, 
914-663-4973 (o) / 718-753-9469 (c)",Publisher/Owner,http://www.streethypenewspaper.com/
Supercreator,Digital,Digital,N/A,,,,,Nationwide,NA,Nationwide,Creators,Michael Jones,Founder & Editor,https://www.supercreator.news
SwagHer Magazine,"Magazine, Digital",Magazine,"Baton Rouge, LA",30.4514677,-91.1871466,"Baton Rouge, LA",,Louisiana,yes,,Black Community,Francheska “Fancy” Felder,Founder,https://swagheronline.com
Tacoma True Citizen,Newspaper (weekly),Newspaper,"P.O. Box 22047. Seattle, WA 98122-0047",47.6186912,-122.3260605,"Seattle, WA",,Washington,yes,Tacoma,African-American,,,https://seattlemedium.com/
Telegram Newspaper,Newspaper (weekly),Newspaper,"3715 W Jefferson Ave, Ecorse, MI 48229",42.2591321,-83.1379698,"Ecorse, MI",,Michigan,no,South Detroit suburbs,African-American,"Gina Wilson, telegram@telegramnews.net",Publisher,https://www.telegramnews.net/
Tempo News,Newspaper (weekly),Newspaper,"3006 Goodrich Ave, Sarasota, FL 34234",27.3626564,-82.5366559,"Sarasota, FL",,Florida,no,Sarasota and Manatee counties,African-American/the working class,"Johnny Hunter, temponewsrq@gmail.com",Publisher,https://temponewsflorida.com/
Texas Metro News,Newspaper (twice monthly),Newspaper,"320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",,,"Dallas, TX",,Texas,no,State of Texas,African-American,,,https://texasmetronews.com/
The AC Phoenix,Newspaper (monthly),Newspaper,"1959 N N Peace Haven Rd #275, Winston-Salem, NC 27106",36.1183742,-80.3109954,"Winston-Salem, NC",,North Carolina,no,Winston-Salem,African-American,,,https://www.theacphoenixnews.com/
The Akron Reporter,Newspaper (weekly),Newspaper,"P.O. Box 2042, Akron, OH 44309",41.0645305,-81.5191832,"Akron, OH",,Ohio,yes,Akron,African-American,,,https://www.thereporternewspaperonline.com/
The Albany Southwest Georgian,Newspaper (weekly),Newspaper,"407 South Slappey, Boulevard, Albany, GA 31701",31.571265,-84.1767716,"Albany, GA",,Georgia,no,Albany,African-American,"Gloria Gaines, (229) 436-2165",Editor,http://www.albanysouthwestgeorgian.com/
The Atlanta Inquirer,Newspaper (weekly),Newspaper,"947 Martin Luther King Jr Dr NW Atlanta, GA 30314",33.7549809,-84.4186076,"Atlanta, GA",,Georgia,no,Atlanta,African-American,info@atlinqu.com,General inbox,https://atlinq.com/
The Atlanta Voice,Newspaper (weekly),Newspaper,"633 Pryor St SW #2789, Atlanta, GA 30312",33.7375423,-84.3949194,"Atlanta, GA",,Georgia,no,Atlanta,African-American,"Janis Ware, jlware@theatlantavoice.com",Publisher,https://www.theatlantavoice.com/
The Baltimore Times,Newspaper (weekly),Newspaper,"2513 N Charles St, Baltimore, MD 21218",39.3183203,-76.6167438,"Baltimore, MD",,Maryland,no,Baltimore,African-American,btimes@btimes.com,General inbox,http://baltimoretimes-online.com/
The Black Chronicle,Newspaper (weekly),Newspaper,"1528 NE 23rd St A, Oklahoma City, OK 73111",35.4928548,-97.4842068,"Oklahoma City, OK",,Oklahoma,no,Oklahoma City,African-American,,,https://blackchronicle.com/
The Black Lens,Newspaper (monthly),Newspaper,"1312 N. Monroe Street, #148, Spokane, WA 99201",47.6696845,-117.4263127,"Spokane, WA",,Washington,no,Spokane,African-American,"Sandy Williams, sandy@blacklensnews.com, (509) 795-1964","Editor, Publisher",http://blacklensnews.com/
The Black Times,Digital,Digital,"305 NW 5th St, Oklahoma City, OK 73102",35.4737641,-97.5181671,"Oklahoma City, OK",,Oklahoma,no,Oklahoma City,African-American,"Tyreke Baker, @tyrekebakerTBT",Founder,https://twitter.com/TheBlackTimesOK
The Black Wall Street Times,Digital,Digital,"2920 S 129th E Ave, Tulsa, OK 74146",36.1210401,-95.8339971,"Tulsa, OK",,Oklahoma,no,Tulsa,African-American,"Nehemiah Frank, nehemiah@bwstimes.com",Publisher,https://theblackwallsttimes.com/
The Bowie Sun,Digital,Digital,"P.O. Box 364, Bowie, MD 20719",38.98006574,-76.76008586,"Bowie, MD",,Maryland,yes,"Bowie, MD",General,"Catherine Hollingsworth, (202) 430-5513, info@bowiesun.com

",Editor,https://bowiesun.com
The Buckeye Review,Newspaper (monthly),Newspaper,"2344 Coronado Ave, Youngstown, OH 44504",41.1324275,-80.6547798,"Youngstown, OH",,Ohio,no,Youngstown,African-American,,,https://buckeyereview.org/
The Carolinian,Newspaper (weekly),Newspaper,"1504 New Bern Ave, Raleigh, NC 27610",35.7796189,-78.6167345,"Raleigh, NC",,North Carolina,no,Raleigh,African-American,,,https://caro.news/
The Champion Newspaper,Newspaper (weekly),Newspaper,"114 New St # E, Decatur, GA 30030",33.7730061,-84.2844549,"Decatur, GA",,Georgia,no,Decatur,African-American,"Carolyn Glenn, cfjglenn@dekalbchamp.com",Publisher,http://thechampionnewspaper.com/
The Charleston Chronicle,Newspaper (weekly),Newspaper,"1111 King St, Charleston, SC 29403",32.8070814,-79.951155,"Charleston, SC",,South Carolina,no,Charleston,African-American,,,https://www.charlestonchronicle.net/
The Charlotte Post,Newspaper (weekly),Newspaper,"5118 Princess St., Charlotte, NC 28269",35.2861375,-80.8002949,"Charlotte, NC",,North Carolina,no,Charlotte,African-American,"Gerald Johnson, publisher@thecharlottepost.com",Publisher,http://www.thecharlottepost.com/
The Charlotte Voice,Digital,Digital,"Charlotte, NC",35.24682427,-80.87829015,"Charlotte, NC",,North Carolina,yes,"Charlotte, NC",Charlotte Residents,"Alicia Benjamin, aliciabenjamin@thecharlottevoice.com",Founder,https://join.thecharlottevoice.com
The Chocolate Voice,Digital,Digital,"Tucson, AZ",32.2355099,-110.9403252,"Tucson, AZ",,Arizona,yes,Nationwide,African-American,,,https://thechocolatevoice.com/
The Chundria Show,TV,TV,"P.O. Box 437334, Chicago, IL 60643",41.6907245,-87.6676463,"Chicago, IL",,Illinois,yes,Nationwide,General,"Chundria Brownlow, info@thechundriashow.com",Host/Producer,https://www.thechundriashow.com/
The Cincinnati Herald,Newspaper (weekly),Newspaper,"3440 Burnet Ave, Cincinnati, OH 45229-2843",39.1435003,-84.4996864,"Cincinnati, OH",,Ohio,no,Cincinnati,African-American,,,https://thecincinnatiherald.com/
The Cleveland Observer,"Newspaper (monthly), Digital",Newspaper,"11459 Euclid Ave #302, Cleveland, OH 44103",41.510157,-81.6040943,"Cleveland, OH",,Ohio,no,Cleveland,African-American,"Ron Calhoun, theclevelandobserver@gmail.com, (216) 236-8081",Publisher,https://www.theclevelandobserver.com/
The Columbus Post,Newspaper (weekly),Newspaper,"770 E Main St, Columbus, OH 43205",39.9582803,-82.9788638,"Columbus, OH",,Ohio,no,Columbus,African-American,,,http://columbuspost.com/
The Columbus Times,Newspaper (weekly),Newspaper,"2230 Buena Vista Rd, Columbus, GA 31906",32.4641594,-84.9584466,"Columbus, GA",,Georgia,no,Columbus,African-American,"Petra Ophelia Gertjegerdes, columbustimes706@gmail.com",Publisher,http://www.columbustimes.com/
The Communicator News,Newspaper (weekly),Newspaper,"90 W Campus View Blvd, Columbus, OH 43235",40.11747,-83.0186606,"Columbus, OH",,Ohio,no,"Columbus, Cincinnati, Dayton, Cleveland",African-American,,,http://communicatornews.homestead.com/
The Community Press,Newspaper (monthly),Newspaper,"3510 Veronica Shoemaker Plaza, Suite 3, Fort Myers, FL 33916",26.6407047,-81.8416656,"Fort Myers, FL",,Florida,no,Fort Myers,African-American,"James Middlebrooks, jamesmiddlebrooks08@gmail.com",Publisher,http://thecommunitypressfla.org/index.html
The Community Voice,Newspaper (biweekly),Newspaper,"2918 E Douglas Ave, Wichita, KS 67214",37.6865095,-97.3018573,"Wichita, KS",,Kansas,no,Wichita,African-American,"Bonita Gooch, press@tcvpub.com",Editor,https://www.thecommunityvoice.com/
The Culture Professional,Social Media/Facebook,Digital,"Lancaster, PA",40.0533287,-76.3006222,"Lancaster, PA",,Pennsylvania,yes,Central Pennsylvania,Marginalized Communities,TCPNetwork254@gmail.com,,https://www.thetcpnetwork.com/wtcp
The Dallas Weekly,Newspaper (weekly),Newspaper,"3101 Martin Luther King Jr Blvd., Dallas, TX 75215",32.7725472,-96.7650629,"Dallas, TX",,Texas,no,Dallas,African-American,,,https://www.dallasweekly.com/
The Drinking Gourd,Digital,Digital,"Philadelphia, PA",40.0126023,-75.0862094,"Philadelphia, PA",,Pennsylvania,yes,Nationwide,Black Muslim,"Vanessa Taylor, inquiries.taylor@gmail.com",Founder,https://medium.com/the-drinking-gourd
The East Tennessee Enlightener,Digital,Digital,"P.O. Box 14315, Knoxville, TN 37914",35.9606384,-83.9207392,"Knoxville, TN",,Tennessee,yes,Knoxville/East TN counties,African-American,,,https://etenlightener.com/
The Emancipator,Digital,Digital,"1 Exchange Pl, Ste 201, Boston, MA 02109-2132",42.3583542,-71.0557347,"Boston, MA",,Massachusetts,no,Boston,Multicultural,,,https://www.bostonglobe.com/opinion/the-emancipator/
The Facts,Newspaper (weekly),Newspaper,"1112 34th Ave, Seattle, WA 98122",47.6121334,-122.2890352,"Seattle, WA",,Washington,no,Seattle,African-American,"Marla and LaVonne Beaver, seattlefacts@yahoo.com, 206.324.0552",Operators,https://www.thefactsnewspaper.com
The Fayetteville Press,Newspaper (biweekly),Newspaper,"3635 Sycamore Dairy Rd # C, Fayetteville, NC 28303",35.0773728,-78.9414259,"Fayetteville, NC",,North Carolina,no,Fayetteville,African-American,,,http://www.fayettevillepress.com/
The Final Call,Newspaper (weekly),Newspaper,"734 W 79th St, Chicago, IL 60620",41.7509156,-87.6429873,"Chicago, IL",,Illinois,no,Chicago/Midwest,Black Muslim,"Naba'a B. Muhammad, fcnprod@aol.com",Editor in chief,https://new.finalcall.com/
The Florida Star/The Georgia Star,Newspaper (weekly),Newspaper,"P.O. Box 40629. Jacksonville, FL 32203",30.3372669,-81.6708913,"Jacksonville, FL",,Florida,yes,Jacksonville/NE Florida/Georgia line,African-American,"Clara McLaughlin, info@thefloridastar.com",Publisher,https://www.thefloridastar.com/
The Florida Sun-Review,Newspaper (weekly),Newspaper,"2700 Catalina Dr., Orlando, FL 32805",28.5146113,-81.4117791,"Orlando, FL",,Florida,no,"Orlando, central Florida",African-American,"James Madison, sunreview@aol.com",Publisher,http://www.floridasunreview.com/
The Good Works Show,Podcast,Radio/Podcast,"Atlanta, GA",33.8114764,-84.2695448,"Atlanta, GA",,Georgia,yes,Atlanta,General,goodworks@ging.org,General inbox,https://goodwillng.org/news-room/good-works-radio-show/
The Haitian Times,Digital,Digital,"P.O. Box 21628, Brooklyn, NY 11202",40.6924765,-73.9908756,"Brooklyn, NY",,New York,yes,NYC,Haitian,,,https://haitiantimes.com/
The Informant,Status unknown,NA,N/A,,,,,Virginia,NA,Buckingham County,African-American,,,
The Informed Village,"Digital, Podcast",Digital,"Evanston, IL",42.0450722,-87.6876969,"Evanston, IL",,Illinois,yes,Evanston,Politics,"Bobby Burns, question@theinformedvillage.com",Founder & Business Manager,https://www.theinformedvillage.com
The Intersection Magazine,Medium publication,Digital,"Hyattsville, MD",38.9563235,-76.9623707,"Hyattsville, MD",,Maryland,yes,Nationwide,African-American,,,https://medium.com/the-intersection
The Jackson Blazer,Newspaper (weekly),Newspaper,"P.O. Box 806, Jackson, MI 49202",42.2639638,-84.4241906,"Jackson, MI",,Michigan,yes,Jackson,African-American,"Alan Wade, jacksonblazer@gmail.com",Publisher,https://thejacksonblazer.com/
The Jerusalem Chronicle,Newspaper (monthly),Newspaper,"555 S B B King Blvd, Memphis, TN 38101",35.1315721,-90.0549916,"Memphis, TN",,Tennessee,no,Memphis,African-American Jews,,,https://twitter.com/jerusalemchroni
The Lede,Newsletter,Digital,N/A,,,,,Nationwide,NA,Nationwide,Media job-seekers,"Kiara Joseph, theledenewsletter@gmail.com",,https://thelede.substack.com
The Live Exchange,Radio,Radio/Podcast,N/A,,,,,Nationwide,NA,Nationwide,African-American,"Dr. Pamela Antoinette, booking@theliveexchange.com",Host,http://www.theliveexchangeradio.com/
The Madison Times,Newspaper (weekly),Newspaper,"313 West Beltline Hwy ste 132, Madison, WI 53713",43.0364728,-89.3882724,"Madison, WI",,Wisconsin,no,Madison,African-American,,,https://themadisontimes.themadent.com
The Metro Courier,Newspaper (weekly),Newspaper,"314 Walton Way, Augusta, GA 30901",33.4642385,-81.9581909,"Augusta, GA",,Georgia,no,Augusta,African-American,"Barbara Gordon, (706) 724-6556",Publisher,
The Miami Times,Newspaper (weekly),Newspaper,"900 NW 54 Street. Miami, FL 33127",25.8245786,-80.2112599,"Miami, FL",,Florida,no,Miami,African-American,"Penny Dickerson, editorial@miamitimesonline.com",Managing editor,https://www.miamitimesonline.com/
The Milwaukee Community Journal,Newspaper (weekly),Newspaper,"3612 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212",43.0834243,-87.919044,"Milwaukee, WI",,Wisconsin,no,Milwaukee,African-American,,,https://communityjournal.net/
The Milwaukee Times,Newspaper (weekly),Newspaper,"1936 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212",43.0560593,-87.9140011,"Milwaukee, WI",,Wisconsin,no,Milwaukee,African-American,,,https://milwaukeetimesnews.com
The Monitor,Newspaper,Newspaper,"1501 State St, East St. Louis, IL 62205",38.6216337,-90.1415588,"East St. Louis, IL",,Illinois,no,East St. Louis,African-American,,,https://estlmonitor.com/
The Monroe Dispatch,Newspaper (weekly),Newspaper,"830 Martin Luther King Junior Drive, Monroe, LA 71203",32.5085156,-92.0824288,"Monroe, LA",,Louisiana,no,Monroe,African-American,monroedispatch@yahoo.com,General inbox,https://www.monroedispatchonline.com/
The New Citizens Press,Newspaper (biweekly),Newspaper,"503 W Cesar E Chavez Avenue, Lansing, MI 48906",42.74724417,-84.55858607,"Lansing, MI",,Michigan,no,Lansing,African-American,"Rina Risper, rinarisper.tncp@gmail.com",Publisher,http://www.tncp.net/
The New Orleans Agenda,Newsletter,Digital,N/A,29.9510658,-90.0715323,,,Louisiana,yes,"New Orleans, Gulf Coast Region",General,"Vincent Sylvain, 504-232-3499, Vincent@SylvainSolutions.com",Publisher,https://www.neworleansagenda.com/
The New York Carib News,Newspaper (weekly),Newspaper,"1501 Broadway 12th floor, New York, NY 10019",40.7570555,-73.9864838,"New York, NY",,New York,no,NYC,Caribbean,,,https://www.nycaribnews.com/
The Newark Times,Digital,Digital,N/A,40.735657,-74.1723667,"Newark, NJ",,New Jersey,yes,Newark,General Market,,,https://thenewarktimes.com
The Nubian News,Newspaper (weekly),Newspaper,"25 South Westfield Ave Trenton, NJ 08618",40.2339359,-74.7969507,"Trenton, NJ",,New Jersey,no,Trenton,Black diaspora,"Kamau Kujuchagulia, nubiannews@gmail.com",Publisher,https://thenubiannews.com/
The Numberz,Radio,Radio/Podcast,"Portland, OR",45.515232,-122.6783853,"Portland, OR",,Oregon,yes,Portland,African-American,info@thenumberz.fm,General inbox,https://www.thenumberz.fm/
The Oklahoma Eagle,Newspaper (weekly),Newspaper,"624 E Archer St, Tulsa, OK 74120",36.1598422,-95.984972,"Tulsa, OK",,Oklahoma,no,Tulsa,African-American,,,http://theoklahomaeagle.net/
